id_boleto,cpf_cliente,descricao,valor,data_emissao,data_vencimento,status,forma_pagamento,linha_digitavel,data_pagamento
BOL-00001,433.218.196-43,Venda de polímeros técnicos,17095.42,0026-07-29,0026-08-13,Pendente,Boleto,17944 62772 54473 24322 42591,
BOL-00002,433.218.196-43,Venda de resinas plásticas,13778.12,0026-05-21,0026-06-11,Vencido,Cartão de Crédito,70637 42742 19880 68082 82132,
BOL-00003,433.218.196-43,Fornecimento de nafta petroquimica,16581.91,0026-05-09,0026-05-24,Vencido,Boleto,40982 31798 63269 73653 73092,
BOL-00004,433.218.196-43,Fornecimento de nafta petroquimica,22639.12,0026-05-24,0026-06-23,Vencido,Transferência (TED),44760 69638 47388 65444 82845,
BOL-00005,433.218.196-43,Fornecimento de solventes industriais,4546.08,0026-07-20,0026-08-19,Pendente,PIX,17665 85914 81066 17989 51104,
BOL-00006,083.863.794-99,Fornecimento de nafta petroquimica,12968.98,0026-05-03,0026-06-02,Pago,Boleto,34356 18981 87992 18907 98501,0026-05-30
BOL-00007,083.863.794-99,Fornecimento de combustível a granel,3701.26,0026-05-27,0026-06-26,Pago,Boleto,91183 20745 64948 96163 86503,0026-06-24
BOL-00008,351.161.559-35,Fornecimento de solventes industriais,17007.37,0026-05-30,0026-06-20,Vencido,Transferência (TED),27154 98039 94607 49321 69929,
BOL-00009,351.161.559-35,Fornecimento de nafta petroquimica,1025.43,0026-06-06,0026-06-21,Pago,PIX,76307 44760 27361 55745 19016,0026-06-17
BOL-00010,351.161.559-35,Fornecimento de combustível a granel,7696.69,0026-05-28,0026-06-25,Vencido,Cartão de Crédito,90173 95717 79329 11025 97538,
BOL-00011,351.161.559-35,Fornecimento de nafta petroquimica,23348.5,0026-07-06,0026-08-03,Pendente,PIX,44664 25129 24029 82512 30374,
BOL-00012,618.495.931-08,Venda de polímeros técnicos,18166.21,0026-06-02,0026-06-23,Vencido,Cartão de Crédito,76244 74032 42914 16658 22097,
BOL-00013,618.495.931-08,Fornecimento de nafta petroquimica,20870.22,0026-07-17,0026-08-16,Pendente,Boleto,53719 27146 93507 44335 31178,
BOL-00014,618.495.931-08,Venda de lubrificantes automotivos,14150.67,0026-07-30,0026-08-29,Pendente,Boleto,24663 19862 29536 81511 14722,
BOL-00015,618.495.931-08,Fornecimento de solventes industriais,11200.84,0026-06-13,0026-07-04,Vencido,Boleto,56898 37535 99399 42706 97416,
BOL-00016,164.752.553-51,Venda de resinas plásticas,24366.86,0026-06-11,0026-07-11,Pago,PIX,64040 13248 33509 53540 63964,0026-07-09
